date,spain_industrial_production,spain_exchange_rates_per_USD,spain_international_reserves_liquidity,spain_consumer_prices,us_international_reserves_liquidity,us_consumer_prices,spain_nominal_exchange_rate_growth,spain_real_exchange_rate,spain_real_exchange_rate_growth,spain_inflation_rate,spain_industrial_production_growth,spain_industrial_production_growth_vs_12_months_ago,spain_international_reserves_liquidity_index,us_inflation_rate,us_international_reserves_liquidity_index
1970-01-01,47.9530233176068,70.00000007,1350.13,5.01111604160748,17396.53,17.3350362637035,0.0,242.15215325236073,-0.0021020498510563312,0.004764585140439648,0.020464187671573875,0.10008071025020149,579.4549356223176,0.002652519893898475,80.99659653321291
1970-02-01,48.3752069418264,70.00000007,1368.13,4.99199074122464,17669.63,17.4267560322945,0.0,244.36602283866162,0.009142473261403161,-0.003816575035190062,0.008804108584006265,0.13793103448275823,587.1802575107297,0.005291005291003792,82.26812427542475
1970-03-01,47.7067495368121,70.00000007,1363.75,5.03024248223358,17350.63,17.5184758008856,0.0,243.78413398945608,-0.0023812183152390753,0.007662622587227608,-0.013818181818181285,0.016491754122937907,585.3004291845493,0.005263157894741299,80.78289047913923
1970-04-01,51.4243108945233,70.00000007,1343.73,5.05806327780032,16918.71,17.6560554537721,0.0,244.34725607811228,0.002309920992153547,0.00553070665380484,0.07792527040314523,0.12435897435897236,576.7081545064377,0.007853403141359294,78.77191185440053
1970-05-01,48.9733004094708,70.00000007,1356.74,5.02502700951248,16164.89,17.7019153380676,0.0,246.5925203104699,0.009188825233379605,-0.006531406681453578,-0.0476624857468636,0.04478358769076829,582.2918454935622,0.002597402597401821,75.26219730795555
1970-06-01,49.6300304915901,70.00000007,1389.74,5.04415345013859,16328.29,17.7936351066586,0.0,246.93032656994885,0.001369896617519517,0.003806236382392081,0.013409961685822758,0.08373879641485171,596.4549356223176,0.0051813471502575315,76.02297223683661
1970-07-01,48.3752069418264,70.00000007,1594.74,5.13920526944424,16065.39,17.8853548752497,0.0,243.61253868632573,-0.013436129655315043,0.01884395870292921,-0.02528355387523551,0.1053054662379429,684.4377682403434,0.0051546391752621545,74.79893472886336
1970-08-01,38.5008010642463,70.00000007,1502.74,5.22034726108815,15795.79,17.8853548752497,0.0,239.8259694046651,-0.015543408816638182,0.015788820914850232,-0.20412121212121248,0.04024081115335876,644.9527896995709,0.0,73.5437026552628
1970-09-01,47.8943867031319,70.00000007,1590.74,5.24410993085375,15527.69,17.9770746438407,0.0,239.96354823217354,0.0005736610920408225,0.004551932769439437,0.2439841608285116,0.04583866837387984,682.7210300429184,0.005128205128203778,72.29545443963852
1970-10-01,49.6300304915901,70.00000007,1666.74,5.29627378001097,15119.89,18.0687944124317,0.0,238.81235424585904,-0.004797370245586907,0.00994713113283785,0.03623898139079218,0.03118908382066299,715.3390557939915,0.0051020408163251485,70.39677625115816
1970-11-01,51.1780371137286,70.00000007,1732.74,5.3101836076727,14890.29,18.1605141810227,0.0,239.3958642232281,0.0024433827102945394,0.002626342262408654,0.031190926275993514,0.10313447927199215,743.6652360515022,0.005076142131978489,69.32778039025798
